PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,26321,12,9,15,22.01,21.87,21.87,CHL,22.01,21.62,21.62,OFF,22.01,21.50,21.50,OFF,22.01,21.37,21.37,OFF,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,31989,12,9,20,22.01,21.94,21.94,CHL,22.01,21.62,21.62,HTR,22.01,21.50,21.50,HTR,22.01,21.37,21.37,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,37495,12,9,26,22.01,21.87,21.87,HTR,22.01,21.62,21.62,HTR,22.01,21.44,21.44,HTR,22.01,21.37,21.37,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,42991,12,9,31,22.01,21.87,21.87,HTR,22.01,21.62,21.62,HTR,22.01,21.44,21.44,HTR,22.01,21.37,21.37,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,48488,12,9,37,22.01,21.87,21.87,HTR,22.01,21.62,21.62,HTR,22.01,21.50,21.50,HTR,22.01,21.37,21.37,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,53999,12,9,42,22.01,21.87,21.87,HTR,22.01,21.62,21.62,HTR,22.01,21.50,21.50,HTR,22.01,21.37,21.37,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,59524,12,9,48,22.01,21.87,21.87,HTR,22.01,21.62,21.62,HTR,22.01,21.50,21.50,HTR,22.01,21.37,21.37,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,65019,12,9,54,22.01,21.94,21.94,CHL,22.01,21.62,21.62,HTR,22.01,21.50,21.50,HTR,22.01,21.37,21.37,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,71391,12,10,0,22.01,21.94,21.94,HTR,22.01,21.69,21.69,HTR,22.01,21.50,21.50,HTR,22.01,21.37,21.37,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,76895,12,10,5,22.01,21.94,21.94,HTR,22.01,21.69,21.69,HTR,22.01,21.50,21.50,HTR,22.01,21.44,21.44,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,82390,12,10,11,22.01,21.94,21.94,HTR,22.01,21.69,21.69,HTR,22.01,21.56,21.56,HTR,22.01,21.44,21.44,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,87886,12,10,16,22.01,21.94,21.94,HTR,22.01,21.69,21.69,HTR,22.01,21.56,21.56,HTR,22.01,21.44,21.44,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,93390,12,10,22,22.01,21.94,21.94,HTR,22.01,21.75,21.75,OFF,22.01,21.56,21.56,HTR,22.01,21.44,21.44,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,98888,12,10,27,22.01,21.94,21.94,HTR,22.01,21.75,21.75,HTR,22.01,21.62,21.62,HTR,22.01,21.50,21.50,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,104384,12,10,33,22.01,22.00,22.00,CHL,22.01,21.75,21.75,HTR,22.01,21.62,21.62,HTR,22.01,21.50,21.50,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,109890,12,10,38,22.01,22.00,22.00,HTR,22.01,21.81,21.81,CHL,22.01,21.62,21.62,HTR,22.01,21.50,21.50,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,115391,12,10,44,22.01,22.00,22.00,HTR,22.01,21.81,21.81,HTR,22.01,21.62,21.62,HTR,22.01,21.56,21.56,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,120889,12,10,49,22.01,22.00,22.00,HTR,22.01,21.81,21.81,HTR,22.01,21.69,21.69,HTR,22.01,21.56,21.56,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,126384,12,10,55,23.01,22.06,22.06,HTR,23.01,21.87,21.87,HTR,23.01,21.69,21.69,HTR,23.01,21.62,21.62,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,132152,12,11,1,23.01,22.06,22.06,HTR,23.01,21.87,21.87,HTR,23.01,21.75,21.75,HTR,23.01,21.62,21.62,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,137651,12,11,6,23.01,22.06,22.06,HTR,23.01,21.87,21.87,HTR,23.01,21.75,21.75,HTR,23.01,21.62,21.62,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,143151,12,11,12,23.01,22.12,22.12,HTR,23.01,21.87,21.87,HTR,23.01,21.81,21.81,HTR,23.01,21.69,21.69,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,148659,12,11,17,23.01,22.12,22.12,HTR,23.01,21.94,21.94,HTR,23.01,21.81,21.81,HTR,23.01,21.69,21.69,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,154160,12,11,23,23.01,22.12,22.12,HTR,23.01,21.94,21.94,HTR,23.01,21.87,21.87,HTR,23.01,21.75,21.75,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,159661,12,11,28,23.01,22.19,22.19,HTR,23.01,22.00,22.00,HTR,23.01,21.87,21.87,HTR,23.01,21.75,21.75,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,165169,12,11,34,23.01,22.19,22.19,HTR,23.01,22.00,22.00,HTR,23.01,21.94,21.94,HTR,23.01,21.81,21.81,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,170670,12,11,39,23.01,22.25,22.25,HTR,23.01,22.06,22.06,HTR,23.01,21.94,21.94,HTR,23.01,21.81,21.81,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,176169,12,11,45,23.01,22.25,22.25,HTR,23.01,22.06,22.06,HTR,23.01,22.00,22.00,HTR,23.01,21.87,21.87,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,181678,12,11,50,23.01,22.25,22.25,HTR,23.01,22.12,22.12,HTR,23.01,22.00,22.00,HTR,23.01,21.87,21.87,HTR,
2019-01-27_IUI_NickCBASS_ramp1_5-8,2019_January_27,187182,12,11,56,23.01,22.31,22.31,HTR,23.01,22.12,22.12,HTR,23.01,22.06,22.06,HTR,23.01,21.94,21.94,HTR,
