Tank,Temp,Date
AQUA_225_TEMPERATURE_2,22.4,2019-01-18 11:47:35
AQUA_225_TEMPERATURE_2,23.5,2019-01-18 12:32:02
AQUA_225_TEMPERATURE_2,24.1,2019-01-18 13:15:10
AQUA_225_TEMPERATURE_2,24.5,2019-01-18 13:59:37
AQUA_225_TEMPERATURE_2,24.1,2019-01-18 15:30:20
AQUA_225_TEMPERATURE_2,23.4,2019-01-18 16:15:10
AQUA_225_TEMPERATURE_2,23.3,2019-01-18 17:00:46
AQUA_225_TEMPERATURE_2,23.2,2019-01-18 17:44:33
AQUA_225_TEMPERATURE_2,23.3,2019-01-18 18:28:43
AQUA_225_TEMPERATURE_2,23.4,2019-01-18 19:13:22
AQUA_225_TEMPERATURE_2,23.1,2019-01-18 20:03:25
AQUA_225_TEMPERATURE_2,23.2,2019-01-18 21:31:34
AQUA_225_TEMPERATURE_2,23.3,2019-01-18 22:15:44
AQUA_225_TEMPERATURE_2,23.4,2019-01-18 23:00:06
AQUA_225_TEMPERATURE_2,23.3,2019-01-18 23:44:10
AQUA_225_TEMPERATURE_2,23,2019-01-19 00:28:15
AQUA_225_TEMPERATURE_2,22.9,2019-01-19 01:11:39
AQUA_225_TEMPERATURE_2,23,2019-01-19 01:54:52
AQUA_225_TEMPERATURE_2,23.1,2019-01-19 03:21:25
AQUA_225_TEMPERATURE_2,23,2019-01-19 04:04:27
AQUA_225_TEMPERATURE_2,22.9,2019-01-19 05:30:25
AQUA_225_TEMPERATURE_2,22.8,2019-01-19 07:40:28
AQUA_225_TEMPERATURE_2,23.7,2019-01-19 09:04:38
AQUA_225_TEMPERATURE_2,25.6,2019-01-19 09:46:03
AQUA_225_TEMPERATURE_2,26.5,2019-01-19 10:30:47
AQUA_225_TEMPERATURE_2,26.7,2019-01-19 11:12:18
AQUA_225_TEMPERATURE_2,26.9,2019-01-19 11:54:29
AQUA_225_TEMPERATURE_2,26.8,2019-01-19 12:36:51
AQUA_225_TEMPERATURE_2,27,2019-01-19 14:01:24
AQUA_225_TEMPERATURE_2,26.8,2019-01-19 14:43:46
AQUA_225_TEMPERATURE_2,26.9,2019-01-19 15:26:03
AQUA_225_TEMPERATURE_2,27.1,2019-01-19 16:50:47
AQUA_225_TEMPERATURE_2,27.2,2019-01-19 17:33:20
AQUA_225_TEMPERATURE_2,27.3,2019-01-19 18:16:11
AQUA_225_TEMPERATURE_2,27.2,2019-01-19 18:59:13
AQUA_225_TEMPERATURE_2,27.4,2019-01-19 20:25:57
AQUA_225_TEMPERATURE_2,27,2019-01-19 21:52:46
AQUA_225_TEMPERATURE_2,27.1,2019-01-19 22:36:00
AQUA_225_TEMPERATURE_2,27.2,2019-01-19 23:19:30
AQUA_225_TEMPERATURE_2,27,2019-01-20 01:29:55
AQUA_225_TEMPERATURE_2,26.9,2019-01-20 02:13:09
AQUA_225_TEMPERATURE_2,27.1,2019-01-20 02:56:11
AQUA_225_TEMPERATURE_2,27,2019-01-20 04:21:23
AQUA_225_TEMPERATURE_2,27.1,2019-01-20 05:04:08
AQUA_225_TEMPERATURE_2,27.2,2019-01-20 05:46:47
AQUA_225_TEMPERATURE_2,26.9,2019-01-20 06:29:20
AQUA_225_TEMPERATURE_2,26.6,2019-01-20 07:11:48
